sseqid,motif_id,display_name,motif_type,function_class,length_bp,scanner_type,max_mismatches,tier
SPLICIFY_MOTIF_PROM_SV40_FRAG,MOTIF_PROM_SV40_FRAG,SV40 promoter fragment,eukaryotic_promoter_fragment,transcription_initiation,57,near_exact,2,silver
SPLICIFY_MOTIF_SGRNA_SCAFFOLD_W2B,MOTIF_SGRNA_SCAFFOLD_W2B,sgRNA scaffold variant W2B,sgrna_scaffold,cas9_guidance,19,exact,1,silver
SPLICIFY_MOTIF_CDS_FRAG_BFP,MOTIF_CDS_FRAG_BFP,BFP fragment,partial_cds_fragment,cds_reporter,19,exact,1,silver
SPLICIFY_MOTIF_CDS_FRAG_LUC2,MOTIF_CDS_FRAG_LUC2,Luc2 fragment,partial_cds_fragment,cds_reporter,51,near_exact,2,silver
SPLICIFY_MOTIF_ORI_DSO_FRAG,MOTIF_ORI_DSO_FRAG,dso double-strand origin,replication_origin_fragment,replication,21,near_exact,1,silver
SPLICIFY_MOTIF_ORI_PSC101_FRAG,MOTIF_ORI_PSC101_FRAG,pSC101 ori fragment,replication_origin_fragment,replication,19,exact,1,silver
SPLICIFY_MOTIF_SGRNA_SCAFFOLD_COPA,MOTIF_SGRNA_SCAFFOLD_COPA,Cpf1/Cas12a crRNA coPA,sgrna_scaffold,cas12a_guidance,90,blast,3,silver
SPLICIFY_MOTIF_VIRAL_VSVG_FRAG,MOTIF_VIRAL_VSVG_FRAG,VSV-G peptide,viral_element,pseudotyping,33,near_exact,2,silver
SPLICIFY_MOTIF_CDS_FRAG_BLASTR,MOTIF_CDS_FRAG_BLASTR,BlastR fragment,partial_cds_fragment,cds_resistance,24,near_exact,1,quarantine
SPLICIFY_MOTIF_CDS_FRAG_DSRED,MOTIF_CDS_FRAG_DSRED,DsRed fragment,partial_cds_fragment,cds_reporter,37,near_exact,2,quarantine
SPLICIFY_MOTIF_CDS_FRAG_TAGRFP,MOTIF_CDS_FRAG_TAGRFP,TagRFP fragment,partial_cds_fragment,cds_reporter,99,blast,3,quarantine
SPLICIFY_MOTIF_INTRON_CBXR,MOTIF_INTRON_CBXR,CbxR intron,intronic_enhancer,splicing,70,blast,3,quarantine
SPLICIFY_MOTIF_INTRON_DMWHITE,MOTIF_INTRON_DMWHITE,Drosophila white intron,intronic_enhancer,splicing,74,blast,3,quarantine
SPLICIFY_MOTIF_INTRON_MHC,MOTIF_INTRON_MHC,MHC intron fragment,intronic_enhancer,splicing,67,blast,3,quarantine
SPLICIFY_MOTIF_ORIT_RP4,MOTIF_ORIT_RP4,oriT RP4 transfer origin,recombination_site,conjugal_transfer,89,blast,3,quarantine
SPLICIFY_MOTIF_ORI_COLA_FRAG,MOTIF_ORI_COLA_FRAG,ColA ori fragment,replication_origin_fragment,replication,22,near_exact,1,quarantine
SPLICIFY_MOTIF_ORI_COLE2_FRAG,MOTIF_ORI_COLE2_FRAG,ColE2 ori fragment,replication_origin_fragment,replication,40,near_exact,2,quarantine
SPLICIFY_MOTIF_RECOMB_ORIT,MOTIF_RECOMB_ORIT,oriT (conjugal transfer),recombination_site,conjugal_transfer,88,blast,3,quarantine
SPLICIFY_MOTIF_SGRNA_SCAFFOLD_COPT,MOTIF_SGRNA_SCAFFOLD_COPT,Cpf1/Cas12a crRNA coPT,sgrna_scaffold,cas12a_guidance,98,blast,3,quarantine
SPLICIFY_MOTIF_SGRNA_SCAFFOLD_DSX,MOTIF_SGRNA_SCAFFOLD_DSX,DSX scaffold fragment,sgrna_scaffold,cas9_guidance,20,near_exact,1,quarantine
