sseqid,canonical_id,display_name,gbk_type,category,function_class,cassette_role,tier,verification_status,expected_length_min,expected_length_max,organism_context
SPLICIFY_INTRON_IME_ACTIN_CL_INTRON_IME_019,INTRON_IME_ACTIN__CL_INTRON_IME_019,Actin,intron,INTRON_IME,Actin,intron,silver,unverified,0,0,m|a|m|m|a|l|i|a|n
SPLICIFY_INTRON_IME_ACTIN_CL_INTRON_IME_020,INTRON_IME_ACTIN__CL_INTRON_IME_020,Actin,intron,INTRON_IME,Actin,intron,silver,unverified,0,0,m|a|m|m|a|l|i|a|n
SPLICIFY_INTRON_IME_ACTIN_CL_INTRON_IME_032,INTRON_IME_ACTIN__CL_INTRON_IME_032,Actin,intron,INTRON_IME,Actin,intron,silver,unverified,0,0,m|a|m|m|a|l|i|a|n
SPLICIFY_INTRON_IME_ALPHATUB84B_CL_INTRON_IME_004,INTRON_IME_ALPHATUB84B__CL_INTRON_IME_004,Alphatub84B,intron,INTRON_IME,Alphatub84B,intron,silver,unverified,0,0,m|a|m|m|a|l|i|a|n
SPLICIFY_INTRON_IME_AMCYAN_CL_INTRON_IME_007,INTRON_IME_AMCYAN__CL_INTRON_IME_007,Amcyan,intron,INTRON_IME,Amcyan,intron,silver,unverified,0,0,m|a|m|m|a|l|i|a|n
SPLICIFY_INTRON_IME_BETA_GLOBIN_CL_INTRON_IME_045,INTRON_IME_BETA_GLOBIN__CL_INTRON_IME_045,Beta-Globin,intron,INTRON_IME,Beta-Globin,intron,silver,unverified,0,0,m|a|m|m|a|l|i|a|n
SPLICIFY_INTRON_IME_BLE_CL_INTRON_IME_033,INTRON_IME_BLE__CL_INTRON_IME_033,Ble,intron,INTRON_IME,Ble,intron,silver,unverified,0,0,m|a|m|m|a|l|i|a|n
SPLICIFY_INTRON_IME_CARP_CL_INTRON_IME_002,INTRON_IME_CARP__CL_INTRON_IME_002,Carp,intron,INTRON_IME,Carp,intron,silver,unverified,0,0,m|a|m|m|a|l|i|a|n
SPLICIFY_INTRON_IME_CHITINASE_CL_INTRON_IME_031,INTRON_IME_CHITINASE__CL_INTRON_IME_031,Chitinase,intron,INTRON_IME,Chitinase,intron,silver,unverified,0,0,m|a|m|m|a|l|i|a|n
SPLICIFY_INTRON_IME_CHLAMYDOMONAS_CL_INTR_27bbb0a3,INTRON_IME_CHLAMYDOMONAS__CL_INTRON_IME_008,Chlamydomonas,intron,INTRON_IME,Chlamydomonas,intron,silver,unverified,0,0,m|a|m|m|a|l|i|a|n
SPLICIFY_INTRON_IME_CHSA_CL_INTRON_IME_039,INTRON_IME_CHSA__CL_INTRON_IME_039,Chsa,intron,INTRON_IME,Chsa,intron,silver,unverified,0,0,m|a|m|m|a|l|i|a|n
SPLICIFY_INTRON_IME_CHSA_CL_INTRON_IME_040,INTRON_IME_CHSA__CL_INTRON_IME_040,Chsa,intron,INTRON_IME,Chsa,intron,silver,unverified,0,0,m|a|m|m|a|l|i|a|n
SPLICIFY_INTRON_IME_CHTRA_CL_INTRON_IME_006,INTRON_IME_CHTRA__CL_INTRON_IME_006,Chtra,intron,INTRON_IME,Chtra,intron,silver,unverified,0,0,m|a|m|m|a|l|i|a|n
SPLICIFY_INTRON_IME_DLL4_CL_INTRON_IME_005,INTRON_IME_DLL4__CL_INTRON_IME_005,Dll4,intron,INTRON_IME,Dll4,intron,silver,unverified,0,0,m|a|m|m|a|l|i|a|n
SPLICIFY_INTRON_IME_EF1_ALPHA_CL_INTRON_IME_038,INTRON_IME_EF1_ALPHA__CL_INTRON_IME_038,Ef1-Alpha,intron,INTRON_IME,Ef1-Alpha,intron,silver,unverified,0,0,m|a|m|m|a|l|i|a|n
SPLICIFY_INTRON_IME_EN2_CL_INTRON_IME_037,INTRON_IME_EN2__CL_INTRON_IME_037,En2,intron,INTRON_IME,En2,intron,silver,unverified,0,0,m|a|m|m|a|l|i|a|n
SPLICIFY_INTRON_IME_FLAVERIA_CL_INTRON_IME_012,INTRON_IME_FLAVERIA__CL_INTRON_IME_012,Flaveria,intron,INTRON_IME,Flaveria,intron,silver,unverified,0,0,m|a|m|m|a|l|i|a|n
SPLICIFY_INTRON_IME_GUSA_CL_INTRON_IME_028,INTRON_IME_GUSA__CL_INTRON_IME_028,Gusa,intron,INTRON_IME,Gusa,intron,silver,unverified,0,0,m|a|m|m|a|l|i|a|n
SPLICIFY_INTRON_IME_HUMHPRTB_CL_INTRON_IME_044,INTRON_IME_HUMHPRTB__CL_INTRON_IME_044,Humhprtb,intron,INTRON_IME,Humhprtb,intron,silver,unverified,0,0,m|a|m|m|a|l|i|a|n
SPLICIFY_INTRON_IME_HX1_CL_INTRON_IME_022,INTRON_IME_HX1__CL_INTRON_IME_022,Hx1,intron,INTRON_IME,Hx1,intron,silver,unverified,0,0,m|a|m|m|a|l|i|a|n
SPLICIFY_INTRON_IME_HX1_CL_INTRON_IME_025,INTRON_IME_HX1__CL_INTRON_IME_025,Hx1,intron,INTRON_IME,Hx1,intron,silver,unverified,0,0,m|a|m|m|a|l|i|a|n
SPLICIFY_INTRON_IME_HX1_CL_INTRON_IME_027,INTRON_IME_HX1__CL_INTRON_IME_027,Hx1,intron,INTRON_IME,Hx1,intron,silver,unverified,0,0,m|a|m|m|a|l|i|a|n
SPLICIFY_INTRON_IME_IGAPDHI_CL_INTRON_IME_011,INTRON_IME_IGAPDHI__CL_INTRON_IME_011,Igapdhi,intron,INTRON_IME,Igapdhi,intron,silver,unverified,0,0,m|a|m|m|a|l|i|a|n
SPLICIFY_INTRON_IME_IGAPDHII_CL_INTRON_IME_017,INTRON_IME_IGAPDHII__CL_INTRON_IME_017,Igapdhii,intron,INTRON_IME,Igapdhii,intron,silver,unverified,0,0,m|a|m|m|a|l|i|a|n
SPLICIFY_INTRON_IME_IGAPDHII_CL_INTRON_IME_023,INTRON_IME_IGAPDHII__CL_INTRON_IME_023,Igapdhii,intron,INTRON_IME,Igapdhii,intron,silver,unverified,0,0,m|a|m|m|a|l|i|a|n
SPLICIFY_INTRON_IME_IGAPDHII_CL_INTRON_IME_024,INTRON_IME_IGAPDHII__CL_INTRON_IME_024,Igapdhii,intron,INTRON_IME,Igapdhii,intron,silver,unverified,0,0,m|a|m|m|a|l|i|a|n
SPLICIFY_INTRON_IME_IGAPDHII_CL_INTRON_IME_026,INTRON_IME_IGAPDHII__CL_INTRON_IME_026,Igapdhii,intron,INTRON_IME,Igapdhii,intron,silver,unverified,0,0,m|a|m|m|a|l|i|a|n
SPLICIFY_INTRON_IME_IGAPDHI_II_CL_INTRON_IME_021,INTRON_IME_IGAPDHI_II__CL_INTRON_IME_021,Igapdhi-Ii,intron,INTRON_IME,Igapdhi-Ii,intron,silver,unverified,0,0,m|a|m|m|a|l|i|a|n
SPLICIFY_INTRON_IME_INTRON_CL_INTRON_IME_034,INTRON_IME_INTRON__CL_INTRON_IME_034,Intron,intron,INTRON_IME,intron,intron,silver,unverified,0,0,m|a|m|m|a|l|i|a|n
SPLICIFY_INTRON_IME_MIR_FF4_CL_INTRON_IME_001,INTRON_IME_MIR_FF4__CL_INTRON_IME_001,Mir-Ff4,intron,INTRON_IME,Mir-Ff4,intron,silver,unverified,0,0,m|a|m|m|a|l|i|a|n
SPLICIFY_INTRON_IME_MIR_FF4_CL_INTRON_IME_010,INTRON_IME_MIR_FF4__CL_INTRON_IME_010,Mir-Ff4,intron,INTRON_IME,Mir-Ff4,intron,silver,unverified,0,0,m|a|m|m|a|l|i|a|n
SPLICIFY_INTRON_IME_MODIFIED_CL_INTRON_IME_003,INTRON_IME_MODIFIED__CL_INTRON_IME_003,Modified,intron,INTRON_IME,Modified,intron,silver,unverified,0,0,m|a|m|m|a|l|i|a|n
